id;thematique_numero;thematique;critere_numero;critere;audit_rapide_25;audit_complementaire_50;audit_complet_106;source_rgaa;source_ara_audit_types
1.1;1;Images;1;Chaque image porteuse d’information a-t-elle une alternative textuelle ?;oui;oui;oui;https://accessibilite.numerique.gouv.fr/methode/criteres-et-tests/;https://github.com/DISIC/Ara/blob/main/confiture-web-app/src/criteria.ts
1.2;1;Images;2;Chaque image de décoration est-elle correctement ignorée par les technologies d’assistance ?;non;non;oui;https://accessibilite.numerique.gouv.fr/methode/criteres-et-tests/;https://github.com/DISIC/Ara/blob/main/confiture-web-app/src/criteria.ts
1.3;1;Images;3;Pour chaque image porteuse d’information ayant une alternative textuelle, cette alternative est-elle pertinente (hors cas particuliers) ?;non;oui;oui;https://accessibilite.numerique.gouv.fr/methode/criteres-et-tests/;https://github.com/DISIC/Ara/blob/main/confiture-web-app/src/criteria.ts
1.4;1;Images;4;Pour chaque image utilisée comme CAPTCHA ou comme image-test, ayant une alternative textuelle, cette alternative permet-elle d’identifier la nature et la fonction de l’image ?;non;non;oui;https://accessibilite.numerique.gouv.fr/methode/criteres-et-tests/;https://github.com/DISIC/Ara/blob/main/confiture-web-app/src/criteria.ts
1.5;1;Images;5;Pour chaque image utilisée comme CAPTCHA, une solution d’accès alternatif au contenu ou à la fonction du CAPTCHA est-elle présente ?;non;oui;oui;https://accessibilite.numerique.gouv.fr/methode/criteres-et-tests/;https://github.com/DISIC/Ara/blob/main/confiture-web-app/src/criteria.ts
1.6;1;Images;6;Chaque image porteuse d’information a-t-elle, si nécessaire, une description détaillée ?;non;oui;oui;https://accessibilite.numerique.gouv.fr/methode/criteres-et-tests/;https://github.com/DISIC/Ara/blob/main/confiture-web-app/src/criteria.ts
1.7;1;Images;7;Pour chaque image porteuse d’information ayant une description détaillée, cette description est-elle pertinente ?;non;oui;oui;https://accessibilite.numerique.gouv.fr/methode/criteres-et-tests/;https://github.com/DISIC/Ara/blob/main/confiture-web-app/src/criteria.ts
1.8;1;Images;8;Chaque image texte porteuse d’information, en l’absence d’un mécanisme de remplacement, doit si possible être remplacée par du texte stylé. Cette règle est-elle respectée (hors cas particuliers) ?;non;non;oui;https://accessibilite.numerique.gouv.fr/methode/criteres-et-tests/;https://github.com/DISIC/Ara/blob/main/confiture-web-app/src/criteria.ts
1.9;1;Images;9;Chaque légende d’image est-elle, si nécessaire, correctement reliée à l’image correspondante ?;non;non;oui;https://accessibilite.numerique.gouv.fr/methode/criteres-et-tests/;https://github.com/DISIC/Ara/blob/main/confiture-web-app/src/criteria.ts
2.1;2;Cadres;1;Chaque cadre a-t-il un titre de cadre ?;non;non;oui;https://accessibilite.numerique.gouv.fr/methode/criteres-et-tests/;https://github.com/DISIC/Ara/blob/main/confiture-web-app/src/criteria.ts
2.2;2;Cadres;2;Pour chaque cadre ayant un titre de cadre, ce titre de cadre est-il pertinent ?;non;non;oui;https://accessibilite.numerique.gouv.fr/methode/criteres-et-tests/;https://github.com/DISIC/Ara/blob/main/confiture-web-app/src/criteria.ts
3.1;3;Couleurs;1;Dans chaque page web, l’information ne doit pas être donnée uniquement par la couleur. Cette règle est-elle respectée ?;oui;oui;oui;https://accessibilite.numerique.gouv.fr/methode/criteres-et-tests/;https://github.com/DISIC/Ara/blob/main/confiture-web-app/src/criteria.ts
3.2;3;Couleurs;2;Dans chaque page web, le contraste entre la couleur du texte et la couleur de son arrière-plan est-il suffisamment élevé (hors cas particuliers) ?;non;non;oui;https://accessibilite.numerique.gouv.fr/methode/criteres-et-tests/;https://github.com/DISIC/Ara/blob/main/confiture-web-app/src/criteria.ts
3.3;3;Couleurs;3;Dans chaque page web, les couleurs utilisées dans les composants d’interface ou les éléments graphiques porteurs d’informations sont-elles suffisamment contrastées (hors cas particuliers) ?;non;non;oui;https://accessibilite.numerique.gouv.fr/methode/criteres-et-tests/;https://github.com/DISIC/Ara/blob/main/confiture-web-app/src/criteria.ts
4.1;4;Multimédia;1;Chaque média temporel pré-enregistré a-t-il, si nécessaire, une transcription textuelle ou une audiodescription (hors cas particuliers) ?;oui;oui;oui;https://accessibilite.numerique.gouv.fr/methode/criteres-et-tests/;https://github.com/DISIC/Ara/blob/main/confiture-web-app/src/criteria.ts
4.2;4;Multimédia;2;Pour chaque média temporel pré-enregistré ayant une transcription textuelle ou une audiodescription synchronisée, celles-ci sont-elles pertinentes (hors cas particuliers) ?;non;oui;oui;https://accessibilite.numerique.gouv.fr/methode/criteres-et-tests/;https://github.com/DISIC/Ara/blob/main/confiture-web-app/src/criteria.ts
4.3;4;Multimédia;3;Chaque média temporel synchronisé pré-enregistré a-t-il, si nécessaire, des sous-titres synchronisés (hors cas particuliers) ?;non;non;oui;https://accessibilite.numerique.gouv.fr/methode/criteres-et-tests/;https://github.com/DISIC/Ara/blob/main/confiture-web-app/src/criteria.ts
4.4;4;Multimédia;4;Pour chaque média temporel synchronisé pré-enregistré ayant des sous-titres synchronisés, ces sous-titres sont-ils pertinents ?;non;oui;oui;https://accessibilite.numerique.gouv.fr/methode/criteres-et-tests/;https://github.com/DISIC/Ara/blob/main/confiture-web-app/src/criteria.ts
4.5;4;Multimédia;5;Chaque média temporel pré-enregistré a-t-il, si nécessaire, une audiodescription synchronisée (hors cas particuliers) ?;non;non;oui;https://accessibilite.numerique.gouv.fr/methode/criteres-et-tests/;https://github.com/DISIC/Ara/blob/main/confiture-web-app/src/criteria.ts
4.6;4;Multimédia;6;Pour chaque média temporel pré-enregistré ayant une audiodescription synchronisée, celle-ci est-elle pertinente ?;non;non;oui;https://accessibilite.numerique.gouv.fr/methode/criteres-et-tests/;https://github.com/DISIC/Ara/blob/main/confiture-web-app/src/criteria.ts
4.7;4;Multimédia;7;Chaque média temporel est-il clairement identifiable (hors cas particuliers) ?;non;non;oui;https://accessibilite.numerique.gouv.fr/methode/criteres-et-tests/;https://github.com/DISIC/Ara/blob/main/confiture-web-app/src/criteria.ts
4.8;4;Multimédia;8;Chaque média non temporel a-t-il, si nécessaire, une alternative (hors cas particuliers) ?;non;oui;oui;https://accessibilite.numerique.gouv.fr/methode/criteres-et-tests/;https://github.com/DISIC/Ara/blob/main/confiture-web-app/src/criteria.ts
4.9;4;Multimédia;9;Pour chaque média non temporel ayant une alternative, cette alternative est-elle pertinente ?;non;oui;oui;https://accessibilite.numerique.gouv.fr/methode/criteres-et-tests/;https://github.com/DISIC/Ara/blob/main/confiture-web-app/src/criteria.ts
4.10;4;Multimédia;10;Chaque son déclenché automatiquement est-il contrôlable par l’utilisateur ?;oui;oui;oui;https://accessibilite.numerique.gouv.fr/methode/criteres-et-tests/;https://github.com/DISIC/Ara/blob/main/confiture-web-app/src/criteria.ts
4.11;4;Multimédia;11;La consultation de chaque média temporel est-elle, si nécessaire, contrôlable par le clavier et tout dispositif de pointage ?;non;non;oui;https://accessibilite.numerique.gouv.fr/methode/criteres-et-tests/;https://github.com/DISIC/Ara/blob/main/confiture-web-app/src/criteria.ts
4.12;4;Multimédia;12;La consultation de chaque média non temporel est-elle contrôlable par le clavier et tout dispositif de pointage ?;non;non;oui;https://accessibilite.numerique.gouv.fr/methode/criteres-et-tests/;https://github.com/DISIC/Ara/blob/main/confiture-web-app/src/criteria.ts
4.13;4;Multimédia;13;Chaque média temporel et non temporel est-il compatible avec les technologies d’assistance (hors cas particuliers) ?;non;non;oui;https://accessibilite.numerique.gouv.fr/methode/criteres-et-tests/;https://github.com/DISIC/Ara/blob/main/confiture-web-app/src/criteria.ts
5.1;5;Tableaux;1;Chaque tableau de données complexe a-t-il un résumé ?;non;non;oui;https://accessibilite.numerique.gouv.fr/methode/criteres-et-tests/;https://github.com/DISIC/Ara/blob/main/confiture-web-app/src/criteria.ts
5.2;5;Tableaux;2;Pour chaque tableau de données complexe ayant un résumé, celui-ci est-il pertinent ?;non;non;oui;https://accessibilite.numerique.gouv.fr/methode/criteres-et-tests/;https://github.com/DISIC/Ara/blob/main/confiture-web-app/src/criteria.ts
5.3;5;Tableaux;3;Pour chaque tableau de mise en forme, le contenu linéarisé reste-t-il compréhensible ?;oui;oui;oui;https://accessibilite.numerique.gouv.fr/methode/criteres-et-tests/;https://github.com/DISIC/Ara/blob/main/confiture-web-app/src/criteria.ts
5.4;5;Tableaux;4;Pour chaque tableau de données ayant un titre, le titre est-il correctement associé au tableau de données ?;non;oui;oui;https://accessibilite.numerique.gouv.fr/methode/criteres-et-tests/;https://github.com/DISIC/Ara/blob/main/confiture-web-app/src/criteria.ts
5.5;5;Tableaux;5;Pour chaque tableau de données ayant un titre, celui-ci est-il pertinent ?;non;non;oui;https://accessibilite.numerique.gouv.fr/methode/criteres-et-tests/;https://github.com/DISIC/Ara/blob/main/confiture-web-app/src/criteria.ts
5.6;5;Tableaux;6;Pour chaque tableau de données, chaque en-tête de colonne et chaque en-tête de ligne sont-ils correctement déclarés ?;non;oui;oui;https://accessibilite.numerique.gouv.fr/methode/criteres-et-tests/;https://github.com/DISIC/Ara/blob/main/confiture-web-app/src/criteria.ts
5.7;5;Tableaux;7;Pour chaque tableau de données, la technique appropriée permettant d’associer chaque cellule avec ses en-têtes est-elle utilisée ?;oui;oui;oui;https://accessibilite.numerique.gouv.fr/methode/criteres-et-tests/;https://github.com/DISIC/Ara/blob/main/confiture-web-app/src/criteria.ts
5.8;5;Tableaux;8;Chaque tableau de mise en forme ne doit pas utiliser d’éléments propres aux tableaux de données. Cette règle est-elle respectée ?;non;non;oui;https://accessibilite.numerique.gouv.fr/methode/criteres-et-tests/;https://github.com/DISIC/Ara/blob/main/confiture-web-app/src/criteria.ts
6.1;6;Liens;1;Chaque lien est-il explicite (hors cas particuliers) ?;oui;oui;oui;https://accessibilite.numerique.gouv.fr/methode/criteres-et-tests/;https://github.com/DISIC/Ara/blob/main/confiture-web-app/src/criteria.ts
6.2;6;Liens;2;Dans chaque page web, chaque lien, à l’exception des ancres, a-t-il un intitulé ?;oui;oui;oui;https://accessibilite.numerique.gouv.fr/methode/criteres-et-tests/;https://github.com/DISIC/Ara/blob/main/confiture-web-app/src/criteria.ts
7.1;7;Scripts;1;Chaque script est-il, si nécessaire, compatible avec les technologies d’assistance ?;oui;oui;oui;https://accessibilite.numerique.gouv.fr/methode/criteres-et-tests/;https://github.com/DISIC/Ara/blob/main/confiture-web-app/src/criteria.ts
7.2;7;Scripts;2;Pour chaque script ayant une alternative, cette alternative est-elle pertinente ?;non;oui;oui;https://accessibilite.numerique.gouv.fr/methode/criteres-et-tests/;https://github.com/DISIC/Ara/blob/main/confiture-web-app/src/criteria.ts
7.3;7;Scripts;3;Chaque script est-il contrôlable par le clavier et par tout dispositif de pointage (hors cas particuliers) ?;oui;oui;oui;https://accessibilite.numerique.gouv.fr/methode/criteres-et-tests/;https://github.com/DISIC/Ara/blob/main/confiture-web-app/src/criteria.ts
7.4;7;Scripts;4;Pour chaque script qui initie un changement de contexte, l’utilisateur est-il averti ou en a-t-il le contrôle ?;non;non;oui;https://accessibilite.numerique.gouv.fr/methode/criteres-et-tests/;https://github.com/DISIC/Ara/blob/main/confiture-web-app/src/criteria.ts
7.5;7;Scripts;5;Dans chaque page web, les messages de statut sont-ils correctement restitués par les technologies d’assistance ?;non;non;oui;https://accessibilite.numerique.gouv.fr/methode/criteres-et-tests/;https://github.com/DISIC/Ara/blob/main/confiture-web-app/src/criteria.ts
8.1;8;Éléments obligatoires;1;Chaque page web est-elle définie par un type de document ?;non;non;oui;https://accessibilite.numerique.gouv.fr/methode/criteres-et-tests/;https://github.com/DISIC/Ara/blob/main/confiture-web-app/src/criteria.ts
8.2;8;Éléments obligatoires;2;Pour chaque page web, le code source généré est-il valide selon le type de document spécifié ?;non;oui;oui;https://accessibilite.numerique.gouv.fr/methode/criteres-et-tests/;https://github.com/DISIC/Ara/blob/main/confiture-web-app/src/criteria.ts
8.3;8;Éléments obligatoires;3;Dans chaque page web, la langue par défaut est-elle présente ?;oui;oui;oui;https://accessibilite.numerique.gouv.fr/methode/criteres-et-tests/;https://github.com/DISIC/Ara/blob/main/confiture-web-app/src/criteria.ts
8.4;8;Éléments obligatoires;4;Pour chaque page web ayant une langue par défaut, le code de langue est-il pertinent ?;oui;oui;oui;https://accessibilite.numerique.gouv.fr/methode/criteres-et-tests/;https://github.com/DISIC/Ara/blob/main/confiture-web-app/src/criteria.ts
8.5;8;Éléments obligatoires;5;Chaque page web a-t-elle un titre de page ?;oui;oui;oui;https://accessibilite.numerique.gouv.fr/methode/criteres-et-tests/;https://github.com/DISIC/Ara/blob/main/confiture-web-app/src/criteria.ts
8.6;8;Éléments obligatoires;6;Pour chaque page web ayant un titre de page, ce titre est-il pertinent ?;non;oui;oui;https://accessibilite.numerique.gouv.fr/methode/criteres-et-tests/;https://github.com/DISIC/Ara/blob/main/confiture-web-app/src/criteria.ts
8.7;8;Éléments obligatoires;7;Dans chaque page web, chaque changement de langue est-il indiqué dans le code source (hors cas particuliers) ?;non;non;oui;https://accessibilite.numerique.gouv.fr/methode/criteres-et-tests/;https://github.com/DISIC/Ara/blob/main/confiture-web-app/src/criteria.ts
8.8;8;Éléments obligatoires;8;Dans chaque page web, chaque changement de langue est-il pertinent ?;non;non;oui;https://accessibilite.numerique.gouv.fr/methode/criteres-et-tests/;https://github.com/DISIC/Ara/blob/main/confiture-web-app/src/criteria.ts
